listing_id,title,title_url,price,dates,age,usage,condition
9909258,grade 12 micro economics,https://sharjah.dubizzle.com/classified/books/textbooks/a-levelshigh-school/2017/4/11/grade-12-micro-economics-12/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTA%3D&pos=250,AED 10,2017-04-11,2-5 years,Normal Usage,Average
9909257,grade 12 informatics study material,https://sharjah.dubizzle.com/classified/books/textbooks/a-levelshigh-school/2017/4/11/grade-12-informatics-study-material-12/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTA%3D&pos=251,AED 10,2017-04-11,2-5 years,Used Once,Flawless
9909256,grade 12 business studies ncert text book 1,https://sharjah.dubizzle.com/classified/books/textbooks/a-levelshigh-school/2017/4/11/grade-12-business-studies-ncert-text-book--12/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTA%3D&pos=252,AED 10,2017-04-11,2-5 years,Light Usage,Flawless
9909254,grade 12 business studies exam idea,https://sharjah.dubizzle.com/classified/books/textbooks/a-levelshigh-school/2017/4/11/grade-12-business-studies-exam-idea-12/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTA%3D&pos=253,AED 15,2017-04-11,2-5 years,Light Usage,Excellent
9909253,Tution available@Deira,https://dubai.dubizzle.com/classified/books/textbooks/a-levelshigh-school/2017/4/11/tution-available-deira-2/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTA%3D&pos=254,AED 500,2017-04-11,2-5 years,Normal Usage,Average
9909252,like it happened yesterday by ravinder singh,https://sharjah.dubizzle.com/classified/books/fiction/classics/2017/4/11/like-it-happened-yesterday-by-ravinder-sin-12/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTA%3D&pos=255,AED 10,2017-04-11,1-6 months,Used Once,Flawless
9909251,NEW SAT I BOOKS,https://dubai.dubizzle.com/classified/books/textbooks/a-levelshigh-school/2017/4/11/new-sat-i-books-2/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTA%3D&pos=256,AED 120,2017-04-11,6-12 months,Normal Usage,Flawless
9909250,hardy boys  hidden mountains,https://sharjah.dubizzle.com/classified/books/childrens-books/fiction/2017/4/11/hardy-boys-hidden-mountains-12/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTA%3D&pos=257,AED 15,2017-04-11,1-6 months,Used Once,Flawless
9909249,O level and A Level books for sale in Abu Dha...,https://abudhabi.dubizzle.com/classified/books/textbooks/a-levelshigh-school/2017/4/11/o-level-and-a-level-books-for-sale-in-abu--3/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTA%3D&pos=258,AED 30,2017-04-11,1-2 years,Used Once,Flawless
9909248,grade 12 economics,https://sharjah.dubizzle.com/classified/books/textbooks/a-levelshigh-school/2017/4/11/grade-12-economics-12/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTA%3D&pos=259,AED 15,2017-04-11,1-2 years,Light Usage,Excellent
9909246,grade 12 english together with,https://sharjah.dubizzle.com/classified/books/textbooks/secondary-school/2017/4/11/grade-12-english-together-with-12/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTE%3D&pos=262,AED 15,2017-04-11,2-5 years,Light Usage,Excellent
9909245,grade 12 accountancy text book part 1,https://sharjah.dubizzle.com/classified/books/textbooks/secondary-school/2017/4/11/grade-12-accountancy-text-book-part-1-12/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTE%3D&pos=263,AED 30,2017-04-11,2-5 years,Light Usage,Excellent
9909244,T.S Grewal double entry book keeping for grad...,https://sharjah.dubizzle.com/classified/books/textbooks/secondary-school/2017/4/11/ts-grewal-double-entry-book-keeping-12/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTE%3D&pos=264,AED 30,2017-04-11,2-5 years,Light Usage,Excellent
9909243,grade 11 business studies text book by  R.K S...,https://sharjah.dubizzle.com/classified/books/textbooks/a-levelshigh-school/2017/4/11/grade-11-business-studies-text-book-by-rk--12/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTE%3D&pos=265,AED 15,2017-04-11,2-5 years,Light Usage,Excellent
9909242,Gleim CIA Books,https://dubai.dubizzle.com/classified/books/textbooks/university/2017/4/11/gleim-cia-books-2/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTE%3D&pos=266,AED 100,2017-04-11,0-1 month,Used Once,Excellent
9909239,more new and used books,https://abudhabi.dubizzle.com/classified/books/nonfiction/other/2017/4/11/more-new-and-used-books-3/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTE%3D&pos=267,AED 30,2017-04-11,6-12 months,Never Used,Flawless
9909238,new and used book,https://abudhabi.dubizzle.com/classified/books/nonfiction/other/2017/4/11/new-and-used-book-3/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTE%3D&pos=268,AED 30,2017-04-11,6-12 months,Never Used,Flawless
9909237,Rishi Kapoor biography Khullam khulla,https://dubai.dubizzle.com/classified/books/nonfiction/historybiography/2017/4/11/rishi-kapoor-biography-khullam-khulla-2/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTE%3D&pos=269,AED 80,2017-04-11,Brand New,Never Used,Flawless
9909236,Islamic studies course book 3,https://abudhabi.dubizzle.com/classified/books/nonfiction/other/2017/4/11/islamic-studies-course-book-3-3/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTE%3D&pos=270,AED 75,2017-04-11,6-12 months,Normal Usage,Excellent
